symbol,date,open,high,low,close,volume,adjclose,splits
GBR,2016-09-16,3.9700000286102295,3.9700000286102295,3.7799999713897705,3.7799999713897705,135500,3.7799999713897705,0.0
GBR,2016-09-19,3.7100000381469727,3.7799999713897705,3.5399999618530273,3.5799999237060547,110000,3.5799999237060547,0.0
GBR,2016-09-20,3.5399999618530273,3.6600000858306885,3.5399999618530273,3.549999952316284,35900,3.549999952316284,0.0
GBR,2016-09-21,3.700000047683716,3.809999942779541,3.630000114440918,3.630000114440918,88600,3.630000114440918,0.0
GBR,2016-09-22,3.700000047683716,3.9700000286102295,3.559999942779541,3.7200000286102295,137500,3.7200000286102295,0.0
GBR,2016-09-23,3.7200000286102295,4.349999904632568,3.549999952316284,3.799999952316284,1004600,3.799999952316284,0.0
GBR,2016-09-26,3.890000104904175,4.170000076293945,3.6500000953674316,3.9000000953674316,345800,3.9000000953674316,0.0
GBR,2016-09-27,3.950000047683716,3.9700000286102295,3.5999999046325684,3.700000047683716,751600,3.700000047683716,0.0
GBR,2016-09-28,3.6500000953674316,3.7200000286102295,3.3399999141693115,3.5,584400,3.5,0.0
GBR,2016-09-29,3.440000057220459,3.690000057220459,2.950000047683716,3.0,480000,3.0,0.0
GBR,2016-09-30,3.440000057220459,3.450000047683716,2.9700000286102295,2.990000009536743,314700,2.990000009536743,0.0
GBR,2016-10-03,2.9100000858306885,3.009999990463257,2.700000047683716,2.700000047683716,247100,2.700000047683716,0.0
GBR,2016-10-04,2.700000047683716,2.9800000190734863,2.450000047683716,2.5999999046325684,596900,2.5999999046325684,0.0
GBR,2016-10-05,2.5399999618530273,2.5399999618530273,2.3299999237060547,2.490000009536743,173100,2.490000009536743,0.0
GBR,2016-10-06,2.4700000286102295,2.5299999713897705,2.380000114440918,2.380000114440918,185000,2.380000114440918,0.0
GBR,2016-10-07,2.450000047683716,3.069999933242798,2.319999933242798,2.319999933242798,2109200,2.319999933242798,0.0
GBR,2016-10-10,2.309999942779541,2.490000009536743,2.200000047683716,2.299999952316284,475100,2.299999952316284,0.0
GBR,2016-10-11,2.259999990463257,2.9000000953674316,2.2200000286102295,2.630000114440918,3262000,2.630000114440918,0.0
GBR,2016-10-12,2.569999933242798,2.75,2.369999885559082,2.6700000762939453,1953100,2.6700000762939453,0.0
GBR,2016-10-13,2.6500000953674316,2.75,2.5199999809265137,2.700000047683716,1031500,2.700000047683716,0.0
GBR,2016-10-14,2.7699999809265137,2.8399999141693115,2.4200000762939453,2.5299999713897705,879500,2.5299999713897705,0.0
GBR,2016-10-17,2.559999942779541,2.630000114440918,2.1500000953674316,2.509999990463257,684400,2.509999990463257,0.0
GBR,2016-10-18,2.4700000286102295,2.569999933242798,2.200000047683716,2.259999990463257,785400,2.259999990463257,0.0
GBR,2016-10-19,2.240000009536743,2.259999990463257,2.0399999618530273,2.200000047683716,381200,2.200000047683716,0.0
